added_utc	source	project	src_mtime	sha256	journal_path
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-17T01:18:25Z	5dfd34adf5fdfe2c8a4047aece4c9572d7b9aea144dcc083f1bce5919d7b9d39	journal/2026-06/-sgl-workspace-sglang__qwen35-mxfp4-fp8-prefill-attn-config.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-12T02:04:33Z	7152c6ca1adf04ce2cf2bc89e958dd11a67287bb2f2156cb53d618720ff3c30e	journal/2026-06/-sgl-workspace-sglang__qwen35-shared-expert-fusion-online-requant.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-11T16:50:47Z	4b26b6389dbae9457f35e76cce6f7fc4d545e5dd29eae58d134897f5dffef85c	journal/2026-06/-sgl-workspace-sglang__qwen35-thinking-eval-max-tokens.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T16:25:42Z	78548b236b1eb429a6dbcdd4e5736259cce94e85bbb99582c7591fea6cb4ef24	journal/2026-06/-sgl-workspace-sglang__implement-e2e-vs-microbench-gate.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-20T13:52:09Z	fff15fc0bb1d1aa815397678dce8edb301a3e5a9b07bb1a6d6b944c59edb3ac3	journal/2026-06/-sgl-workspace-sglang__flydsl-moe-reduction-grid-collapse-e2e-win.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T11:28:59Z	42e9623fd7941fcad194c95272e320b7a946193030bd1b158dca8d0f7b101fa2	journal/2026-06/-sgl-workspace-sglang__flydsl-moe-fp8-intermediate-accurate.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T12:54:21Z	705410ba76127aecc86d365b182ac42322d0c0857455f4b49b0cc620fd08d3cd	journal/2026-06/-sgl-workspace-sglang__moe-prelude-e2e-gate-ceiling.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-17T03:17:52Z	fe87af9ac72587924a9007ad8e121edd321a6d38c100144eaeb7e36070016da9	journal/2026-06/-sgl-workspace-sglang__qwen35-contiguous-vs-paged-prefill-fmha.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-13T02:17:07Z	20456217f893060b82a11cf9a3e648ec391eb3f147d63775617065de3c0c9157	journal/2026-06/-sgl-workspace-sglang__qwen35-decode-layer17-optimization.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-16T12:23:21Z	5479d646cd5564d20279909ec62fec64e01c8ce17fe681d14431c477a601dd50	journal/2026-06/-sgl-workspace-sglang__fused-attn-num-segments.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T16:32:03Z	f2686e4b85e935a0e60c95666613dc111827bf52875c65915c4c97926f35c394	journal/2026-06/-sgl-workspace-sglang__fuse-attn-segment-reduce-dead-path.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T15:03:01Z	eb86c63a8ce1bf5a7e96de6b854717a7c80623200f75de3429c3c527c51f0491	journal/2026-06/-sgl-workspace-sglang__mxfp4-moe-not-csv-tunable.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-21T15:21:28Z	432c3646abd735c04cd899aa242767d56fb16ea94517f12554d04735ef8fd47e	journal/2026-06/-sgl-workspace-sglang__fuse-attn-segment-reduce-wrong-path.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-sglang	2026-06-22T09:24:36Z	84edeeb49fdc58b0d9205897182ec3106dcb3cc70eb87ef4604ecb7b6958010f	journal/2026-06/-sgl-workspace-sglang__aiter-fmoe-untuned-csv-shape-rule.md
2026-07-06T02:58:33Z	legacy	-home-yichiche-agent-box	2026-06-27T09:08:40Z	3a2d719262bffed871964d66e1bae25869dce39754eb1f951a599b0b50668c08	journal/2026-06/-home-yichiche-agent-box__feedback-sglang-branch-hygiene.md
2026-07-06T02:58:33Z	legacy	-sgl-workspace-aiter	2026-06-27T09:08:40Z	430a737e6a36b486d0b6dfa7b2e9bd9fbec4a1895d93985e7fcbfbcb6b6a8f0c	journal/2026-06/-sgl-workspace-aiter__qwen35-moe-decode-roundzero__430a737e.md
2026-07-06T06:05:40Z	claude	-home-yichiche	2026-07-06T03:13:11Z	d785e936de43042ac0e428f3e8aa7aa12ddc1c93bd33c027bf511703b3ae437f	journal/2026-07/-home-yichiche__agent-box-memory-redesign.md
2026-07-06T10:25:31Z	claude	-home-yichiche	2026-07-06T09:50:31Z	a12988d0f7b7e02e096c1c6f99627bbbfd59a15555e9c521a919cdcb3977893c	journal/2026-07/-home-yichiche__container-claude-api-key.md
